"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
F97,Megapascal litro por segundo,     MPaÀl/s,MEGAPASCAL LITRO POR SEGUNDO
F98,Megapascal metro cúbico por segundo,    MPaÀm?/s,MEGAPASCAL METRO CUBICO POR SEGUNDO
F99,Pascal litro por segundo,     PaÀl/s,PASCAL LITRO POR SEGUNDO
FAH,Grado fahrenheit, ?F,GRADO FAHRENHEIT
FAR,Farad,  F,FARAD
FB,campo,,CAMPO
FBM,Medidor de fibra,,MEDIDOR DE FIBRA
FC,Mil pies cúbicos,kft?,MIL PIES CUBICOS
FD,Millones de partículas por pie cúbico,,MILLONES DE PARTICULAS POR PIE CUBICO
FE,Pie de pista,,PIE DE PISTA
FF,Cien metros cúbicos,,CIEN METROS CUBICOS
FG,Parche transdérmico,,PARCHE TRANSDERMICO
FH,MicroMol,Ámol,MICROMOL
FIT,Fallas en el tiempo, FIT,FALLAS EN EL TIEMPO
FL,Flake ton,,FLAKE TON
FM,Millones de pies cúbicos,Mft?,MILLONES DE PIES CUBICOS
FOT,Pie, ft,PIE
FP,Libra por pie cuadrado,     lb/ft?,LIBRA POR PIE CUADRADO
FR,Pie por minuto,     ft/min,PIE POR MINUTO
FS,Pie por segundo,ft/s,PIE POR SEGUNDO
FTK,Pie cuadrado, ft?,PIE CUADRADO
FTQ,Pie cúbico, ft?,PIE CUBICO
G01,Pascal metro cúbico por segundo,     PaÀm?/s,PASCAL METRO CUBICO POR SEGUNDO
G04,Centímetro por bar,     cm/bar,CENTIMETRO POR BAR
G05,Metro por bar,m/bar,METRO POR BAR
G06,Milímetro por bar,     mm/bar,MILIMETRO POR BAR
G08,Pulgada cuadrada por segundo,in?/s,PULGADA CUADRADA POR SEGUNDO
G09,Metro cuadrado por segundo kelvin,    m?/(sÀK),METRO CUADRADO POR SEGUNDO KELVIN
G10,Stokes por kelvin,St/K,STOKES POR KELVIN
G11,Gramo por centímetro cúbico bar,   g/(cm?Àbar),GRAMO POR CENTIMETRO CUBICO BAR
G12,Gramo por decímetro cúbico bar,   g/(dm?Àbar),GRAMO POR DECIMETRO CUBICO BAR
G13,Gramo por litro bar,    g/(lÀbar),GRAMO POR LITRO BAR
G14,Gramo por metro cúbico bar,   g/(m?Àbar),GRAMO POR METRO CUBICO BAR
G15,Gramo por mililitro bar,   g/(mlÀbar),GRAMO POR MILILITRO BAR
G16,Kilogramo por centímetro cúbico bar,  kg/(cm?Àbar),KILOGRAMO POR CENTIMETRO CUBICO BAR
G17,Kilogramo por litro bar,   kg/(lÀbar),KILOGRAMO POR LITRO BAR
G18,Kilogramo por metro cúbico bar,   kg/(m?Àbar),KILOGRAMO POR METRO CUBICO BAR
G19,Newton metro por kilogramo,     NÀm/kg,NEWTON METRO POR KILOGRAMO
G2,Galón (EUA) por minuto,  gal (US) /min,GALON (EUA) POR MINUTO
G20,Libra-fuerza pie por libra,    lbfÀft/lb,LIBRA-FUERZA PIE POR LIBRA
G21,Taza (unidad de volumen),    cup (US),TAZA (UNIDAD DE VOLUMEN)
G23,Peck,     pk (US),PECK
G24,Cucharada (estados unidos), tablespoon (US),CUCHARADA (ESTADOS UNIDOS)
G25,Cucharilla (estados unidos),  teaspoon (US),CUCHARILLA (ESTADOS UNIDOS)
G26,Estere, st,ESTERE
G27,Centímetro cúbico por kelvin,cm?/K,CENTIMETRO CUBICO POR KELVIN
G28,Litro por kelvin, l/K,LITRO POR KELVIN
G29,Metro cúbico por kelvin,m?/K,METRO CUBICO POR KELVIN
G3,Galón (RU) por minuto,  gal (UK) /min,GALON (RU) POR MINUTO
G30,Mililitro por klevin,ml/K,MILILITRO POR KLEVIN
G31,Kilogramo por centímetro cúbico,     kg/cm?,KILOGRAMO POR CENTIMETRO CUBICO
G32,Onza (avoirdupois) por yarda cúbica,     oz/yd?,ONZA (AVOIRDUPOIS) POR YARDA CUBICA
G33,Gramo por centímetro cúbico kelvin,    g/(cm?ÀK),GRAMO POR CENTIMETRO CUBICO KELVIN
G34,Gramo por decímetro cúbico kelvin,    g/(dm?ÀK),GRAMO POR DECIMETRO CUBICO KELVIN
G35,Gramo por litro kelvin,     g/(lÀK),GRAMO POR LITRO KELVIN
G36,Gramo por metro cúbico kelvin,    g/(m?ÀK),GRAMO POR METRO CUBICO KELVIN
G37,Gramo por mililitro kelvin,    g/(mlÀK),GRAMO POR MILILITRO KELVIN
G38,Kilogramo por centímetro cúbico kelvin,   kg/(cm?ÀK),KILOGRAMO POR CENTIMETRO CUBICO KELVIN
G39,Kilogramo por litro kelvin,    kg/(lÀK),KILOGRAMO POR LITRO KELVIN
G40,Kilogramo por metro cúbico kelvin,    kg/(m?ÀK),KILOGRAMO POR METRO CUBICO KELVIN
G41,Metro cuadrado por segundo bar,   m?/(sÀbar),METRO CUADRADO POR SEGUNDO BAR
G42,Microsiemens por centímetro,ÁS/cm,MICROSIEMENS POR CENTIMETRO
G43,Microsiemens por metro,ÁS/m,MICROSIEMENS POR METRO
G44,Nanosiemens por centímetro,nS/cm,NANOSIEMENS POR CENTIMETRO
G45,Nanosiemens por metro,nS/m,NANOSIEMENS POR METRO
G46,Stokes por bar,     St/bar,STOKES POR BAR
G47,Centímetro cúbico por día,cm?/d,CENTIMETRO CUBICO POR DIA
G48,Centímetro cúbico por hora,cm?/h,CENTIMETRO CUBICO POR HORA
G49,Centímetro cúbico por minuto,     cm?/min,CENTIMETRO CUBICO POR MINUTO
G50,Galón por hora,gal/h,GALON POR HORA
G51,Litro por segundo, l/s,LITRO POR SEGUNDO
G52,Metro cúbico por día,m?/d,METRO CUBICO POR DIA
G53,Metro cúbico por minuto,     m?/min,METRO CUBICO POR MINUTO
G54,Mililitro por día,ml/d,MILILITRO POR DIA
G55,Mililitro por hora,ml/h,MILILITRO POR HORA
G56,Pulgada cúbica por hora,in?/h,PULGADA CUBICA POR HORA
G57,Pulgada cúbica por minuto,     in?/min,PULGADA CUBICA POR MINUTO
G58,Pulgada cúbica por segundo,in?/s,PULGADA CUBICA POR SEGUNDO
G59,Miliamperio por litro minuto,   mA/(lÀmin),MILIAMPERIO POR LITRO MINUTO
G60,Voltio por bar,V/bar,VOLTIO POR BAR
G61,Centímetro cúbico por día kelvin,    cm?/(dÀK),CENTIMETRO CUBICO POR DIA KELVIN
G62,Centímetro cúbico por hora kelvin,    cm?/(hÀK),CENTIMETRO CUBICO POR HORA KELVIN
G63,Centímetro cúbico por minuto kelvin,   cm?/(minÀK),CENTIMETRO CUBICO POR MINUTO KELVIN
G64,Centímetro cúbico por segundo kelvin,    cm?/(sÀK),CENTIMETRO CUBICO POR SEGUNDO KELVIN
G65,Litro por día kelvin,     l/(dÀK),LITRO POR DIA KELVIN
G66,Litro por hora kelvin,     l/(hÀK),LITRO POR HORA KELVIN
G67,Litro por minuto kelvin,    l/(minÀK),LITRO POR MINUTO KELVIN
G68,Litro por segundo kelvin,     l/(sÀK),LITRO POR SEGUNDO KELVIN
G69,Metro cúbico por día kelvin,    m?/(dÀK),METRO CUBICO POR DIA KELVIN
G7,Hoja de microficha,,HOJA DE MICROFICHA
G70,Metro cúbico por hora kelvin,    m?/(hÀK),METRO CUBICO POR HORA KELVIN
G71,Metro cúbico por minuto kelvin,   m?/(minÀK),METRO CUBICO POR MINUTO KELVIN
G72,Metro cúbico por segundo kelvin,    m?/(sÀK),METRO CUBICO POR SEGUNDO KELVIN
G73,Mililitro por día kelvin,    ml/(dÀK),MILILITRO POR DIA KELVIN
G74,Mililitro por hora kelvin,    ml/(hÀK),MILILITRO POR HORA KELVIN
G75,Mililitro por minuto kelvin,   ml/(minÀK),MILILITRO POR MINUTO KELVIN
G76,Mililitro por segundo kelvin,    ml/(sÀK),MILILITRO POR SEGUNDO KELVIN
G77,Milímetro a la cuarta potencia, mm?,MILIMETRO A LA CUARTA POTENCIA
G78,Centímetro cúbico por día bar,   cm?/(dÀbar),CENTIMETRO CUBICO POR DIA BAR
G79,Centímetro cúbico por hora bar,   cm?/(hÀbar),CENTIMETRO CUBICO POR HORA BAR
G80,Centímetro cúbico por minuto bar,  cm?/(minÀbar),CENTIMETRO CUBICO POR MINUTO BAR
G81,Centímetro cúbico por segundo bar,   cm?/(sÀbar),CENTIMETRO CUBICO POR SEGUNDO BAR
G82,Litro por día bar,    l/(dÀbar),LITRO POR DIA BAR
G83,Litro por hora bar,    l/(hÀbar),LITRO POR HORA BAR
G84,Litro por minuto bar,   l/(minÀbar),LITRO POR MINUTO BAR
G85,Litro por segundo bar,    l/(sÀbar),LITRO POR SEGUNDO BAR
G86,Metro cúbico por día bar,   m?/(dÀbar),METRO CUBICO POR DIA BAR
G87,Metro cúbico por hora bar,   m?/(hÀbar),METRO CUBICO POR HORA BAR
G88,Metro cúbico por minuto bar,  m?/(minÀbar),METRO CUBICO POR MINUTO BAR
G89,Metro cúbico por segundo bar,   m?/(sÀbar),METRO CUBICO POR SEGUNDO BAR
G90,Mililitro por día bar,   ml/(dÀbar),MILILITRO POR DIA BAR
G91,Mililitro por hora bar,   ml/(hÀbar),MILILITRO POR HORA BAR
G92,Mililitro por minuto bar,  ml/(minÀbar),MILILITRO POR MINUTO BAR
G93,Mililitro por segundo bar,   ml/(sÀbar),MILILITRO POR SEGUNDO BAR
G94,Centímetro cúbico por bar,     cm?/bar,CENTIMETRO CUBICO POR BAR
G95,Litro por bar,l/bar,LITRO POR BAR
G96,Metro cúbico por bar,     m?/bar,METRO CUBICO POR BAR
G97,Mililitro por bar,     ml/bar,MILILITRO POR BAR
G98,Micro henry por kiloOhm,ÁH/k?,MICRO HENRY POR KILOOHM
G99,Micro henry por Ohm,ÁH/?,MICRO HENRY POR OHM
GB,Galón (EUA) por día,   gal (US)/d,GALON (EUA) POR DIA
GBQ,Gigabecquerel, GBq,GIGABECQUEREL
GC,Gramo por 100 gramos,,GRAMO POR 100 GRAMOS
Gd,Barril bruto,,BARRIL BRUTO
GDW,"Gramo, peso seco",,"GRAMO, PESO SECO"
GE,Libra por galón (EUA),   lb/gal (US),LIBRA POR GALON (EUA)
GF,Gramo por metro (gramo por 100 centímetros), g/m,GRAMO POR METRO (GRAMO POR 100 CENTIMETROS)
GFI,Gramo de isótopo fisible,     gi F/S,GRAMO DE ISOTOPO FISIBLE
GGR,Grandioso,,GRANDIOSO
GH,Medio galón (US),,MEDIO GALON (US)
GIA,Gill (us),     gi (US),GILL (US)
GIC,"Gramo, incluido el contenedor",,"GRAMO, INCLUIDO EL CONTENEDOR"
GII,Gill (uk),     gi (UK),GILL (UK)
GIP,"Grama, incluido el embalaje interior",,"GRAMA, INCLUIDO EL EMBALAJE INTERIOR"
GJ,Gramo por mililitro,g/ml,GRAMO POR MILILITRO
GK,Gramo por kilogramo,,GRAMO POR KILOGRAMO
GL,Gramo por litro, g/l,GRAMO POR LITRO
GLD,Galón seco (EUA),  dry gal (US),GALON SECO (EUA)
GLI,Galón (UK),    gal (UK),GALON (UK)
GLL,Galón (EUA),    gal (US),GALON (EUA)
GM,Gramo por metro cuadrado,g/m?,GRAMO POR METRO CUADRADO
GN,Galón bruto,,GALON BRUTO
GO,Miligramo por metro cuadrado,mg/m?,MILIGRAMO POR METRO CUADRADO
GP,Miligramo por metro cúbico,mg/m?,MILIGRAMO POR METRO CUBICO
GQ,Microgramo por metro cúbico,Ág/m?,MICROGRAMO POR METRO CUBICO
GRM,Gramo,  g,GRAMO
GRN,Grano, gr,GRANO
GRO,Groá, gr,GROá
GT,Tonelada bruta,,TONELADA BRUTA
GV,Gigajoule, GJ,GIGAJOULE
GW,Galón por mil pies cúbicos,,GALON POR MIL PIES CUBICOS
GWH,Gigawatt hora,GWÀh,GIGAWATT HORA
GY,Patio grueso,,PATIO GRUESO
GZ,Sistema de calibración,,SISTEMA DE CALIBRACION
H03,Henry por kiloOhm,H/k?,HENRY POR KILOOHM
H04,Henry por Ohm, H/?,HENRY POR OHM
H05,Milihenry por kiloOhm,mH/k?,MILIHENRY POR KILOOHM
H06,Milihenry por Ohm,mH/?,MILIHENRY POR OHM
H07,Pascal segundo por bar,    PaÀs/bar,PASCAL SEGUNDO POR BAR
H08,Microbequerel, ÁBq,MICROBEQUEREL
H09,Año recíproco, 1/y,ANO RECIPROCO
H1,Media página - electrónica,,MEDIA PAGINA - ELECTRONICA
H10,Hora recíproca, 1/h,HORA RECIPROCA
H11,Mes recíproco,1/mo,MES RECIPROCO
H12,Grado celsius por hora,?C/h,GRADO CELSIUS POR HORA
H13,Grado celsius por minuto,     ?C/min,GRADO CELSIUS POR MINUTO
H14,Grado celsius por segundo,?C/s,GRADO CELSIUS POR SEGUNDO
H15,Centímetro cudrado por gramo,cm?/g,CENTIMETRO CUDRADO POR GRAMO
H16,Decámetro cuadrado,dam?,DECAMETRO CUADRADO
H18,Hectómetro cuadrado, hm?,HECTOMETRO CUADRADO
H19,Hectómetro cúbico, hm?,HECTOMETRO CUBICO
H2,Medio litro,,MEDIO LITRO
H20,Kilómetro cúbico, km?,KILOMETRO CUBICO
H21,Blanco,,BLANCO
H22,Voltio pulgada cuadrada por libra fuerza,   V/(lbf/in?),VOLTIO PULGADA CUADRADA POR LIBRA FUERZA
H23,Voltio por pulgada,V/in,VOLTIO POR PULGADA
H24,Voltio por microsegundo,V/Ás,VOLTIO POR MICROSEGUNDO
H25,Por ciento por kelvin, %/K,POR CIENTO POR KELVIN
H26,Ohm por metro, ?/m,OHM POR METRO
H27,Grado por metro, ?/m,GRADO POR METRO
H28,Microfaradio por kilómetro,ÁF/km,MICROFARADIO POR KILOMETRO
H29,Microgramo por litro,Ág/l,MICROGRAMO POR LITRO
H30,Micrómetro cuadrado, Ám?,MICROMETRO CUADRADO
H31,Amperio por kilogramo,A/kg,AMPERIO POR KILOGRAMO
H32,Amperio cuadrado segundo,A?Às,AMPERIO CUADRADO SEGUNDO
H33,Faradio por kilómetro,F/km,FARADIO POR KILOMETRO
H34,Hertz metro,HzÀm,HERTZ METRO
H35,Kelvin metro por watt,KÀm/W,KELVIN METRO POR WATT
H36,MegaOhm por kilómetro,M?/km,MEGAOHM POR KILOMETRO
H37,MegaOhm por metro,M?/m,MEGAOHM POR METRO
H38,Megaamperio, MA,MEGAAMPERIO
H39,Megahertz kilómetro,     MHzÀkm,MEGAHERTZ KILOMETRO
H40,Newton por amperio, N/A,NEWTON POR AMPERIO
H41,Newton metro watts elevado a la potencia menos 0.5,    NÀmÀW????,NEWTON METRO WATTS ELEVADO A LA POTENCIA MENOS 0.5
H42,Pascal por metro,Pa/m,PASCAL POR METRO
H43,Siemens por centímetro,S/cm,SIEMENS POR CENTIMETRO
H44,TeraOhm, T?,TERAOHM
H45,Voltio segundo por metro,VÀs/m,VOLTIO SEGUNDO POR METRO
H46,Voltio por segundo, V/s,VOLTIO POR SEGUNDO
H47,Watt por metro cúbico,W/m?,WATT POR METRO CUBICO
H48,Attofarad, aF,ATTOFARAD
H49,Centímetro por hora,cm/h,CENTIMETRO POR HORA
H50,Reciprocidad del centimetro cúbico,cm??,RECIPROCIDAD DEL CENTIMETRO CUBICO
H51,Decibel per kilometro,dB/km,DECIBEL PER KILOMETRO
H52,Decibel per metro,dB/m,DECIBEL PER METRO
H53,Kilogramo por bar,     kg/bar,KILOGRAMO POR BAR
H54,Kilogramo por decímetro cúbico kelvin,   (kg/dm?)/K,KILOGRAMO POR DECIMETRO CUBICO KELVIN
H55,Kilogramo por decímetro cúbico bar,  (kg/dm?)/bar,KILOGRAMO POR DECIMETRO CUBICO BAR
H56,Kilogramo por metro cuadrado segundo,    kg/(m?Às),KILOGRAMO POR METRO CUADRADO SEGUNDO
H57,Pulgada por dos pi por radián,  in/revolution,PULGADA POR DOS PI POR RADIAN
H58,Metro por voltio segundo,     m/(VÀs),METRO POR VOLTIO SEGUNDO
H59,Metro cuadrado por newton,m?/N,METRO CUADRADO POR NEWTON
H60,Metro cúbico por metro cúbico,m?/m?,METRO CUBICO POR METRO CUBICO
H61,Milisiemens por centímetro,mS/cm,MILISIEMENS POR CENTIMETRO
H62,Milivoltio por minuto,     mV/min,MILIVOLTIO POR MINUTO
H63,Miligramo por centímetro cuadrado,     mg/cm?,MILIGRAMO POR CENTIMETRO CUADRADO
H64,Miligramo por gramo,mg/g,MILIGRAMO POR GRAMO
H65,Mililitro por metro cúbico,ml/m?,MILILITRO POR METRO CUBICO
H66,Milímetro por año,mm/y,MILIMETRO POR ANO
H67,Milímetro por hora,mm/h,MILIMETRO POR HORA
H68,MiliMol por gram,     mmol/g,MILIMOL POR GRAM
H69,Picopascal por kilometro,     pPa/km,PICOPASCAL POR KILOMETRO
H70,Picosegundo, ps,PICOSEGUNDO
H71,Por ciento al mes,%/mo,POR CIENTO AL MES
H72,Por ciento por hectobar,     %/hbar,POR CIENTO POR HECTOBAR
H73,Por ciento por decakelvin,%/daK,POR CIENTO POR DECAKELVIN
H74,Watt por metro, W/m,WATT POR METRO
H75,Decapascal,daPa,DECAPASCAL
H76,Gramo por milímetro,g/mm,GRAMO POR MILIMETRO
H77,Anchura del módulo, MW,ANCHURA DEL MODULO
H78,Centímetro convencional de agua,  Cm H $ ? $ O,CENTIMETRO CONVENCIONAL DE AGUA
H79,Escala francesa, Fg,ESCALA FRANCESA
H80,Unidad de bastidor,     U or RU,UNIDAD DE BASTIDOR
H81,Milímetro por minuto,     mm/min,MILIMETRO POR MINUTO
H82,Punto grande, bp,PUNTO GRANDE
H83,Litro por kilogramo,l/kg,LITRO POR KILOGRAMO
H84,Gramos milímetro,gÀmm,GRAMOS MILIMETRO
H85,Semana recíproca,1/wk,SEMANA RECIPROCA
H87,Pieza,,PIEZA
H88,MegaOhm kilómetro,M?Àkm,MEGAOHM KILOMETRO
H89,Por ciento por Ohmio, %/?,POR CIENTO POR OHMIO
H90,Porcentaje por grado, %/?,PORCENTAJE POR GRADO
H91,Por ciento por cada diez mil,     %/10000,POR CIENTO POR CADA DIEZ MIL
H92,Ciento por cien mil,    %/100000,CIENTO POR CIEN MIL
H93,Porcentaje por cien,%/100,PORCENTAJE POR CIEN
H94,Por ciento por mil,     %/1000,POR CIENTO POR MIL
H95,Por ciento por voltio, %/V,POR CIENTO POR VOLTIO
H96,Tanto por ciento por bar,%/bar,TANTO POR CIENTO POR BAR
H98,Por ciento por pulgada,%/in,POR CIENTO POR PULGADA
H99,Por ciento por metro, %/m,POR CIENTO POR METRO
HA,Madeja,,MADEJA
HAR,hectárea,    decir ah,HECTAREA
HBA,Hectobar,hbar,HECTOBAR
HBX,Ciento de cajas,,CIENTO DE CAJAS
HC,Conteo en cientos,,CONTEO EN CIENTOS
HD,Media docena,,MEDIA DOCENA
HDW,"Cien kilogramos, peso seco",,"CIEN KILOGRAMOS, PESO SECO"
HE,Centésima de un quilate,,CENTESIMA DE UN QUILATE
HEA,Cabeza,,CABEZA
HF,Cien pies,,CIEN PIES
HGM,Héctogramo, hg,HECTOGRAMO
HH,Cien pies cúbicos,,CIEN PIES CUBICOS
HI,Cien hojas,,CIEN HOJAS
HIU,Unidad internacional de cien,,UNIDAD INTERNACIONAL DE CIEN
HJ,Potencia métrica,   Hp métrico,POTENCIA METRICA
HK,Cien kilogramos,,CIEN KILOGRAMOS
HKM,"Cien kilogramos, masa neta",,"CIEN KILOGRAMOS, MASA NETA"
HL,Cien pies (lineal),,CIEN PIES (LINEAL)
HLT,Hectolitro, hl,HECTOLITRO
HM,Milla por hora (milla estatal),     mile/h,MILLA POR HORA (MILLA ESTATAL)
HMQ,Millones de metros cúbicos, Mm?,MILLONES DE METROS CUBICOS
HMT,Hectómetro, hm,HECTOMETRO
HN,Milímetro convencional de mercurio,Mm Hg,MILIMETRO CONVENCIONAL DE MERCURIO
HO,Cien onzas troy,,CIEN ONZAS TROY
HP,Milímetro convencional de agua,  Mm H $ ? $ O,MILIMETRO CONVENCIONAL DE AGUA
HPA,Hectolitro de alcohol puro,,HECTOLITRO DE ALCOHOL PURO
HS,Cien pies cuadrados,,CIEN PIES CUADRADOS
HT,media hora,,MEDIA HORA
HTZ,Hertz, Hz,HERTZ
HUR,Hora,  h,HORA
HY,Cien yardas,,CIEN YARDAS
IA,Pulgada libra,inÀlb,PULGADA LIBRA
IC,Contar por pulgada,,CONTAR POR PULGADA
IE,Personas,,PERSONAS
IF,Pulgadas de agua,,PULGADAS DE AGUA
II,Columna pulgada,,COLUMNA PULGADA
IM,Impresión,,IMPRESION
INH,Pulgada, in,PULGADA
INK,Pulgada cuadrada, in?,PULGADA CUADRADA
INQ,Pulgada cúbica, in?,PULGADA CUBICA
IP,póliza de seguros,,POLIZA DE SEGUROS
ISD,Grado internacional de azúcar,,GRADO INTERNACIONAL DE AZUCAR
IT,Recuento por centímetro,,RECUENTO POR CENTIMETRO
IU,Pulgada por segundo,in/s,PULGADA POR SEGUNDO
IV,Pulgada por segundo al cuadrado,in/s?,PULGADA POR SEGUNDO AL CUADRADO
J10,Por ciento por milímetro,%/mm,POR CIENTO POR MILIMETRO
J12,Por mille por psi,ë/psi,POR MILLE POR PSI
J13,Grado api,?API,GRADO API
J14,Grado baume (escala de origen), ?Bé,GRADO BAUME (ESCALA DE ORIGEN)
J15,Grado baume (us pesado), ?Bé (US heavy),GRADO BAUME (US PESADO)
J16,Grado baume (luz de los EUA), ?Bé (US light),GRADO BAUME (LUZ DE LOS EUA)
J17,Grado balling,    ?Balling,GRADO BALLING
J18,Grado brix, ?Bx,GRADO BRIX
J19,Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico)., ?FÀhÀft?/Btuth,GRADO FAHRENHEIT HORA PIE CUADRADO POR UNIDAD TERMICA BRITANICA (TERMOQUIMICO).
J2,Joule por kilogramo,J/kg,JOULE POR KILOGRAMO
J20,Grado fahrenheit por kelvin,?F/K,GRADO FAHRENHEIT POR KELVIN
J21,Grado fahrenheit por bar,     ?F/bar,GRADO FAHRENHEIT POR BAR
J22,Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional)., ?FÀhÀft?/BtuIT,GRADO FAHRENHEIT HORA PIE CUADRADO POR UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL).
J23,Grado fahrenheit por hora,?F/h,GRADO FAHRENHEIT POR HORA
J24,Grado fahrenheit por minuto,     ?F/min,GRADO FAHRENHEIT POR MINUTO
J25,Grado fahrenheit por segundo,?F/s,GRADO FAHRENHEIT POR SEGUNDO
J26,Reciprocidad grado fahrenheit,1/?F,RECIPROCIDAD GRADO FAHRENHEIT
J27,Grado oechsle,    ?Oechsle,GRADO OECHSLE
J28,Grado rankine por hora,?R/h,GRADO RANKINE POR HORA
J29,Grado rankine por minuto,     ?R/min,GRADO RANKINE POR MINUTO
J30,Grado rankine por segundo,?R/s,GRADO RANKINE POR SEGUNDO
J31,Grado twaddel., ?Tw,GRADO TWADDEL.
J32,Micropoise, ÁP,MICROPOISE
J33,Microgramo por kilogramo,Ág/kg,MICROGRAMO POR KILOGRAMO
J34,Microgramo por metro cúbico kelvin,    (Ág/m?)/K,MICROGRAMO POR METRO CUBICO KELVIN
J35,Microgramo por metro cúbico bar,   (Ág/m?)/bar,MICROGRAMO POR METRO CUBICO BAR
J36,Microlitro por litro,Ál/l,MICROLITRO POR LITRO
J38,Baud, Bd,BAUD
J39,Unidad térmica británica (significado), Btu,UNIDAD TERMICA BRITANICA (SIGNIFICADO)
J40,Unidad térmica británica (tabla internacional) pie por hora pie cuadrado grado fahrenheit.,BtuITÀft/(hÀft?À?F),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) PIE POR HORA PIE CUADRADO GRADO FAHRENHEIT.
J41,Unidad térmica británica (tabla internacional) pulgada por hora pie cuadrado grado fahrenheit.,BtuITÀin/(hÀft?À?F),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) PULGADA POR HORA PIE CUADRADO GRADO FAHRENHEIT.
J42,Unidad térmica británica (tabla internacional) pulgada por segundo pie cuadrado grado fahrenheit.,BtuITÀin/(sÀft?À?F),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) PULGADA POR SEGUNDO PIE CUADRADO GRADO FAHRENHEIT.
J43,Unidad térmica británica (tabla internacional) por libra grado fahrenheit,  BtuIT/(lbÀ?F),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR LIBRA GRADO FAHRENHEIT
J44,Unidad térmica británica (tabla internacional) por minuto,    BtuIT/min,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR MINUTO
J45,Unidad térmica británica (tabla internacional) por segundo,     BtuIT/s,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR SEGUNDO
J46,Unidad térmica británica (termoquímico) pie por hora pie cuadrado grado fahrenheit.,BtuthÀft/(hÀft?À?F),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) PIE POR HORA PIE CUADRADO GRADO FAHRENHEIT.
J47,Unidad térmica británica (termoquímica) por hora,     Btuth/h,UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR HORA
J48,Unidad térmica británica (termoquímico) pulgada por hora pie cuadrado grado fahrenheit.,BtuthÀin/(hÀft?À?F),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) PULGADA POR HORA PIE CUADRADO GRADO FAHRENHEIT.
J49,Unidad térmica británica (termoquímico) pulgada por segundo pie cuadrado grado fahrenheit.,BtuthÀin/(sÀft?À?F),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) PULGADA POR SEGUNDO PIE CUADRADO GRADO FAHRENHEIT.
J50,Unidad térmica británica (termoquímico) por libra grado fahrenheit,  Btuth/(lbÀ?F),UNIDAD TERMICA BRITANICA (TERMOQUIMICO) POR LIBRA GRADO FAHRENHEIT
J51,Unidad térmica británica (termoquímica) por minuto,    Btuth/min,UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR MINUTO
J52,Unidad térmica británica (termoquímica) por segundo,     Btuth/s,UNIDAD TERMICA BRITANICA (TERMOQUIMICA) POR SEGUNDO
J53,Culombio metro cuadrado por kilogramo,     CÀm?/kg,CULOMBIO METRO CUADRADO POR KILOGRAMO
J54,Megabaud, MBd,MEGABAUD
J55,Watt segundo, WÀs,WATT SEGUNDO
J56,Bar por bar,     bar/bar,BAR POR BAR
J57,Barril (uk petróleo),  bbl (UK liq.),BARRIL (UK PETROLEO)
J58,Barril (petróleo UK) por minuto,bbl (UK liq.)/min,BARRIL (PETROLEO UK) POR MINUTO
J59,Barril (petróleo UK) por día, bbl (UK liq.)/d,BARRIL (PETROLEO UK) POR DIA
J60,Barril (petróleo UK) por hora, bbl (UK liq.)/h,BARRIL (PETROLEO UK) POR HORA
J61,Barril (petróleo UK) por segundo, bbl (UK liq.)/s,BARRIL (PETROLEO UK) POR SEGUNDO
J62,Barril (petróleo estados unidos) por hora,   bbl (US)/h,BARRIL (PETROLEO ESTADOS UNIDOS) POR HORA
J63,Barril (petróleo estados unidos) por segundo,   bbl (US)/s,BARRIL (PETROLEO ESTADOS UNIDOS) POR SEGUNDO
J64,Bushel (UK) por día,    bu (UK)/d,BUSHEL (UK) POR DIA
J65,Bushel (UK) por hora,    bu (UK)/h,BUSHEL (UK) POR HORA
J66,Bushel (UK) por minuto,   bu (UK)/min,BUSHEL (UK) POR MINUTO
J67,Bushel (UK) por segundo,    bu (UK)/s,BUSHEL (UK) POR SEGUNDO
J68,"Bushel (seco,estados unidos) por día",  bu (US dry)/d,"BUSHEL (SECO,ESTADOS UNIDOS) POR DIA"
J69,"Bushel (seco,estados unidos) por hora",  bu (US dry)/h,"BUSHEL (SECO,ESTADOS UNIDOS) POR HORA"
J70,"Bushel (seco,estados unidos) por minuto", bu (US dry)/min,"BUSHEL (SECO,ESTADOS UNIDOS) POR MINUTO"
J71,"Bushel (seco,estados unidos) por segundo",  bu (US dry)/s,"BUSHEL (SECO,ESTADOS UNIDOS) POR SEGUNDO"
