"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
A21,Unidad térmica británica (tabla internacional) por libra grado rankine,  Btu/IT(lb/°R),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR LIBRA GRADO RANKINE
A22,Unidad térmica británica (tabla internacional) por segundo pie grado rankine, BtuIT/(s/ft/°R),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR SEGUNDO PIE GRADO RANKINE
A23,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.,BtuIT/(h/ft2/°R),UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR HORA PIE CUADRADO GRADO RANKINE.
A24,Candela por metro cuadrado,cd/m2,CANDELA POR METRO CUADRADO
A25,Caballo de vapor, CV,CABALLO DE VAPOR
A26,Culombio metro, CÀm,CULOMBIO METRO
A27,Culombio metro cuadrado por voltio,     CÀm2/V,CULOMBIO METRO CUADRADO POR VOLTIO
A28,Culombio por centímetro cúbico,C/cm3,CULOMBIO POR CENTIMETRO CUBICO
A29,Culombio por metro cúbico,C/m?,CULOMBIO POR METRO CUBICO
A3,Amperio por milímetro,A/mm,AMPERIO POR MILIMETRO
A30,Culombio por milimetro cúbico,C/mm?,CULOMBIO POR MILIMETRO CUBICO
A31,Culombio por kilogramo-segundo,    C/(kg/s),CULOMBIO POR KILOGRAMO-SEGUNDO
A32,Culombio por Mol,C/mol,CULOMBIO POR MOL
A33,Culombio por centímetro cuadrado,C/cm?,CULOMBIO POR CENTIMETRO CUADRADO
A34,Culombio por metro cuadrado,C/m?,CULOMBIO POR METRO CUADRADO
A35,Culombio por milímetro cuadrado,C/mm?,CULOMBIO POR MILIMETRO CUADRADO
A36,Centimetro cúbico por Mol,     cm?/mol,CENTIMETRO CUBICO POR MOL
A37,Decimetro cuadrado por Mol,     dm?/mol,DECIMETRO CUADRADO POR MOL
A38,Cubic pooulo p,m?/C,CUBIC POOULO P
A39,Metro cúbico por kilogramo,m?/kg,METRO CUBICO POR KILOGRAMO
A4,Amperio por centímetro cuadrado,A/cm?,AMPERIO POR CENTIMETRO CUADRADO
A40,Metro cubbico por Mol,     m?/mol,METRO CUBBICO POR MOL
A41,Amperio por metro cuadrado,A/m?,AMPERIO POR METRO CUADRADO
A42,Curie por kilogramo,Ci/kg,CURIE POR KILOGRAMO
A43,Tonelaje de peso muerto, dwt,TONELAJE DE PESO MUERTO
A44,Decalitro, dal,DECALITRO
A45,Decámetro, dam,DECAMETRO
A47,Decitex,  dtex (g/10km),DECITEX
A48,Grado rankine, ?R,GRADO RANKINE
A49,Negador,  den (g/9 km),NEGADOR
A5,Amperio metro cuadrado,AÀm?,AMPERIO METRO CUADRADO
A50,Dyne segundo por centímetro cúbico,  Dyn s / cm2,DYNE SEGUNDO POR CENTIMETRO CUBICO
A51,Dyne segundo por centímetro,  Dyn s / cm,DYNE SEGUNDO POR CENTIMETRO
A52,Dyne segundo por centímetro a la quinta potencia,  Dyn s / cm2,DYNE SEGUNDO POR CENTIMETRO A LA QUINTA POTENCIA
A53,Electrónvoltio,eV,ELECTRONVOLTIO
A54,Electrovoltio por metro,eV/m,ELECTROVOLTIO POR METRO
A55,Electrovoltio por metro cuadrado,eV/m2,ELECTROVOLTIO POR METRO CUADRADO
A56,Electrovoltio metro cuadrado por kilogramo,    eVÀm?/kg,ELECTROVOLTIO METRO CUADRADO POR KILOGRAMO
A57,Ergio,ergio,ERGIO
A58,Erg por centímetro,    Erg / cm,ERG POR CENTIMETRO
A59,La cobertura de nubes 8-parte,,LA COBERTURA DE NUBES 8-PARTE
A6,Amperio por metro cuadrado Kelvin cuadrado,    A/(m?ÀK?),AMPERIO POR METRO CUADRADO KELVIN CUADRADO
A60,Erg por centímetro cúbico,    Erg / cm?,ERG POR CENTIMETRO CUBICO
A61,Erg por gramo,     Erg / g,ERG POR GRAMO
A62,Erg por segundo gramo,   Erg / g À s,ERG POR SEGUNDO GRAMO
A63,Erg por segundo,Ergs,ERG POR SEGUNDO
A64,Erg por segundo centímetro cuadrado, Erg / (s À cm?),ERG POR SEGUNDO CENTIMETRO CUADRADO
A65,Erg por centímetro cuadrado segundo, Erg / (cm? À s),ERG POR CENTIMETRO CUADRADO SEGUNDO
A66,Erg centímetro cuadrado,    Erg À cm?,ERG CENTIMETRO CUADRADO
A67,Erg centímetro cuadrado por gramo,  Erg À cm? / g,ERG CENTIMETRO CUADRADO POR GRAMO
A68,Exajoule, EJ,EXAJOULE
A69,Faradio por metro, F/m,FARADIO POR METRO
A7,Amperio por milímetro cuadrado,A/mm?,AMPERIO POR MILIMETRO CUADRADO
A70,Femtojoule, fJ,FEMTOJOULE
A71,Femtómetro, fm,FEMTOMETRO
A73,Pie por segundo al cuadrado,ft/s?,PIE POR SEGUNDO AL CUADRADO
A74,Pie libra-fuerza por segundo,    ftÀlbf/s,PIE LIBRA-FUERZA POR SEGUNDO
A75,Tonelada de carga,,TONELADA DE CARGA
A76,Galón, Gal,GALON
A77,Gauáian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento,,GAUáIAN CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE DESPLAZAMIENTO
A78,Gauáiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica,,GAUáIANO CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE CORRIENTE ELECTRICA
A79,Gauáian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica,,GAUáIAN CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE CARGA ELECTRICA
A8,Amperio segundo, AÀs,AMPERIO SEGUNDO
A80,Gauáiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico,,GAUáIANO CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE LA FUERZA DEL CAMPO ELECTRICO
A81,Gauáian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica,,GAUáIAN CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE POLARIZACION ELECTRICA
A82,Gauáiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico,,GAUáIANO CGS (CENTIMETRO-GRAM-SEGUNDO SISTEMA) UNIDAD DE POTENCIAL ELECTRICO
